Nome do Candidato,Partido,Municipio,Situacao,Moeda Social,Palavras chaves Amplas
JOSE RAFAEL RIBEIRO,Partido Socialismo E Liberdade - PSOL,Prefeito - Angra Dos Reis/ RJ,Nao eleito,,"renda minima, economia solidaria"
RONALD DE CASSIO DAIBES MOREIRA,Uniao Brasil - UNIAO,Prefeito - Aperibe/ RJ,ELEITO,,"renda minima, transferencia de renda"
MARIA DA PENHA BERNARDES,Partido Liberal - PL,Prefeito - Araruama/ RJ,Nao eleito,,economia solidaria
CELSO SILVESTRE DE ABREU,Partido Liberal - PL,Prefeito - Areal/ RJ,Nao eleito,moeda social,
ALEXANDRE DE OLIVEIRA MARTINS,Republicanos - REPUBLICANOS,Prefeito - Armacao Dos Buzios/ RJ,ELEITO,,renda basica
RAFAEL AGUIAR PEREIRA DE SOUZA,Partido Liberal - PL,Prefeito - Armacao Dos Buzios/ RJ,Nao eleito,moeda social,
MARCELO MAGNO FELIX DOS SANTOS,Partido Liberal - PL,Prefeito - Arraial Do Cabo/ RJ,ELEITO,,distribuicao de renda
MARCELO BORGES DA SILVA,Uniao Brasil - UNIAO,Prefeito - Barra Mansa/ RJ,Nao eleito,,economia solidaria
PETTERSON MAGNO DA SILVA SANTOS,Partido Socialismo E Liberdade - PSOL,Prefeito - Barra Mansa/ RJ,Nao eleito,"moedas sociais, bancos populares","renda minima, economia solidaria, transferencia de renda, distribuicao de renda"
FRANCISCO DE ASSIS FREITAS,Partido Socialista Brasileiro - PSB,Prefeito - Belford Roxo/ RJ,Nao eleito,moeda social,
MARCIO CORREIA DE OLIVEIRA,Uniao Brasil - UNIAO,Prefeito - Belford Roxo/ RJ,ELEITO,,transferencia de renda
MATHEUS CARNEIRO BARROS,Republicanos - REPUBLICANOS,Prefeito - Belford Roxo/ RJ,Nao eleito,moeda social,
SERGIO LUIZ COSTA AZEVEDO FILHO,Partido Liberal - PL,Prefeito - Cabo Frio/ RJ,ELEITO,,distribuicao de renda
MAGDALA FURTADO,Partido Verde - PV,Prefeito - Cabo Frio/ RJ,Nao eleito,,"transferencia de renda, distribuicao de renda"
RAFAEL PECANHA DE MOURA,Rede Sustentabilidade - REDE,Prefeito - Cabo Frio/ RJ,Nao eleito,"moeda social, moedas sociais, moeda local","economia solidaria, transferencia de renda, distribuicao de renda"
RAFAEL PECANHA DE MOURA,Rede Sustentabilidade - REDE,Prefeito - Cabo Frio/ RJ,Inapto,"moeda social, moedas sociais, moeda local","economia solidaria, transferencia de renda, distribuicao de renda"
MARCOS ANTONIO DOS SANTOS SOUZA,Solidariedade - SOLIDARIEDADE,Prefeito - Cachoeiras De Macacu/ RJ,Nao eleito,moeda social,"economia solidaria, transferencia de renda"
JOAO CELSO CUNHA DOS SANTOS,Solidariedade - SOLIDARIEDADE,Prefeito - Cambuci/ RJ,Nao eleito,moeda social,
PEDRO CARLOS MENDES,Partido Democratico Trabalhista - PDT,Prefeito - Cambuci/ RJ,Inapto,,transferencia de renda
MADELEINE FARIAS RANGEL DYKEMAN,Uniao Brasil - UNIAO,Prefeito - Campos Dos Goytacazes/ RJ,Nao eleito,,renda minima
FABRICIO LIRIO RODRIGUES,Rede Sustentabilidade - REDE,Prefeito - Campos Dos Goytacazes/ RJ,Nao eleito,,"renda minima, economia solidaria, transferencia de renda"
FERNANDO SERGIO TRINDADE CRESPO,Partido Renovador Trabalhista Brasileiro - PRTB,Prefeito - Campos Dos Goytacazes/ RJ,Nao eleito,,transferencia de renda
RAPHAEL ELBAS NERI DE THUIN,Partido Renovacao Democratica - PRD,Prefeito - Campos Dos Goytacazes/ RJ,Nao eleito,,transferencia de renda
WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,Progressistas - PP,Prefeito - Campos Dos Goytacazes/ RJ,ELEITO,,"economia solidaria, transferencia de renda"
EDILAINE DA CONCEICAO DORICO,Republicanos - REPUBLICANOS,Prefeito - Comendador Levy Gasparian/ RJ,Nao eleito,,transferencia de renda
LEOPOLDO CESAR DA SILVA,Partido Democratico Trabalhista - PDT,Prefeito - Conceicao De Macabu/ RJ,Nao eleito,moeda social,economia solidaria
LIDIA MERCEDES OLIVEIRA SOARES,Partido Dos Trabalhadores - PT,Prefeito - Conceicao De Macabu/ RJ,Nao eleito,moeda social,
VALMIR TAVARES LESSA,Cidadania - CIDADANIA,Prefeito - Conceicao De Macabu/ RJ,ELEITO,moeda local,
LEONAN LOPES MELHORANCE,Partido Liberal - PL,Prefeito - Cordeiro/ RJ,ELEITO,,distribuicao de renda
ARMANDO ROSEMBERTO MATTOS TEIXEIRA,Solidariedade - SOLIDARIEDADE,Prefeito - Duas Barras/ RJ,ELEITO,moeda local,
DIEGO THURLER ORNELLAS,Partido Democratico Trabalhista - PDT,Prefeito - Duas Barras/ RJ,Nao eleito,,transferencia de renda
OCTAVIO BOTELHO LUTTERBACH,Partido Liberal - PL,Prefeito - Duas Barras/ RJ,Nao eleito,moeda social,distribuir renda
JOSE CAMILO ZITO DOS SANTOS FILHO,Partido Verde - PV,Prefeito - Duque De Caxias/ RJ,Nao eleito,,economia solidaria
MARLON VIVAS CABRAL,Partido Democratico Trabalhista - PDT,Prefeito - Guapimirim/ RJ,Nao eleito,moeda social,
MARCO ANTONIO MOTTA RAMOS,Partido Socialista Brasileiro - PSB,Prefeito - Iguaba Grande/ RJ,Nao eleito,moeda social,
MONICA ANDRADE DOS SANTOS,Partido Dos Trabalhadores - PT,Prefeito - Iguaba Grande/ RJ,Nao eleito,,transferencia de renda
JAIR JOSE DIAS,Partido Dos Trabalhadores - PT,Prefeito - Itaborai/ RJ,Nao eleito,"moeda social, banco comunitario","renda basica, economia solidaria"
MARCELO JANDRE DELAROLI,Partido Liberal - PL,Prefeito - Itaborai/ RJ,ELEITO,moeda social,"economia solidaria, distribuicao de renda"
